20243100,1,15
20243100,2,20
20243100,3,12
20243105,1,18
20243105,2,22
20243105,3,14
20243110,1,20
20243110,2,25
20243110,3,16
20243115,1,22
20243115,2,30
20243115,3,18
20243120,1,10
20243120,2,24
20243120,3,17
20243125,1,16
20243125,2,21
20243125,3,13
20243130,1,18
20243130,2,26
20243130,3,19
20243135,1,21
20243135,2,28
20243135,3,15
20243140,1,12
20243140,2,18
20243140,3,10
20243145,1,19
20243145,2,23
20243145,3,11
20243150,1,23
20243150,2,29
20243150,3,16
20243155,1,14
20243155,2,19
20243155,3,12
20243160,1,17
20243160,2,23
20243160,3,18
20243165,1,20
20243165,2,26
20243165,3,14
20243170,1,11
20243170,2,17
20243170,3,10
20243175,1,18
20243175,2,22
20243175,3,15
20243180,1,24
20243180,2,31
20243180,3,17
20243185,1,15
20243185,2,20
20243185,3,12
20243190,1,19
20243190,2,24
20243190,3,16
20243195,1,13
20243195,2,18
20243195,3,11
20243200,1,22
20243200,2,28
20243200,3,14
20243205,1,16
20243205,2,21
20243205,3,13
20243210,1,20
20243210,2,25
20243210,3,17
20243215,1,18
20243215,2,23
20243215,3,15
20243220,1,11
20243220,2,17
20243220,3,10
20243225,1,21
20243225,2,27
20243225,3,19
20243230,1,24
20243230,2,30
20243230,3,16
20243235,1,15
20243235,2,20
20243235,3,12
20243240,1,19
20243240,2,24
20243240,3,16
20243245,1,13
20243245,2,18
20243245,3,11
20243250,1,22
20243250,2,28
20243250,3,14
20243255,1,16
20243255,2,21
20243255,3,13
20243260,1,20
20243260,2,25
20243260,3,17
20243265,1,18
20243265,2,23
20243265,3,15
20243270,1,11
20243270,2,17
20243270,3,10
20243275,1,21
20243275,2,27
20243275,3,19
20243280,1,24
20243280,2,30
20243280,3,16
20243285,1,15
20243285,2,20
20243285,3,12
20243290,1,19
20243290,2,24
20243290,3,16
20243295,1,13
20243295,2,18
20243295,3,11
20243300,1,22
20243300,2,28
20243300,3,14
20243305,1,16
20243305,2,21
20243305,3,13
20243310,1,20
20243310,2,25
20243310,3,17
20243315,1,18
20243315,2,23
20243315,3,15
20243320,1,11
20243320,2,17
20243320,3,10
20243325,1,21
20243325,2,27
20243325,3,19
20243330,1,24
20243330,2,30
20243330,3,16
20243335,1,15
20243335,2,20
20243335,3,12
20243340,1,19
20243340,2,24
20243340,3,16
20243345,1,13
20243345,2,18
20243345,3,11
20243350,1,22
20243350,2,28
20243350,3,14
20243355,1,16
20243355,2,21
20243355,3,13
20243360,1,20
20243360,2,25
20243360,3,17
20243365,1,18
20243365,2,23
20243365,3,15
20243370,1,11
20243370,2,17
20243370,3,10
20243375,1,21
20243375,2,27
20243375,3,19
20243380,1,24
20243380,2,30
20243380,3,16
20243385,1,15
20243385,2,20
20243385,3,12
20243390,1,19
20243390,2,24
20243390,3,16
20243395,1,13
20243395,2,18
20243395,3,11
20243400,1,22
20243400,2,28
20243400,3,14
20243405,1,16
20243405,2,21
20243405,3,13
20243410,1,20
20243410,2,25
20243410,3,17
20243415,1,18
20243415,2,23
20243415,3,15
20243420,1,11
20243420,2,17
20243420,3,10
20243425,1,21
20243425,2,27
20243425,3,19
20243430,1,24
20243430,2,30
20243430,3,16
20243435,1,15
20243435,2,20
20243435,3,12
20243440,1,19
20243440,2,24
20243440,3,16
20243445,1,13
20243445,2,18
20243445,3,11
20243450,1,22
20243450,2,28
20243450,3,14
20243455,1,16
20243455,2,21
20243455,3,13
20243460,1,20
20243460,2,25
20243460,3,17
20243465,1,18
20243465,2,23
20243465,3,15
20243470,1,11
20243470,2,17
20243470,3,10
20243475,1,21
20243475,2,27
20243475,3,19
20243480,1,24
20243480,2,30
20243480,3,16
20243485,1,15
20243485,2,20
20243485,3,12
20243490,1,19
20243490,2,24
20243490,3,16
20243495,1,13
20243495,2,18
20243495,3,11
20243500,1,22
20243500,2,28
20243500,3,14
20243505,1,16
20243505,2,21
20243505,3,13
20243510,1,20
20243510,2,25
